SoTcD_1,SoTcR_1,DTB_1,SoTcD_2,SoTcR_2,DTB_2,SoTcD_3,SoTcR_3,DTB_3,SoTcD_4,SoTcR_4,DTB_4,SoTcD_5,SoTcR_5,DTB_5,SoTcD_6,SoTcR_6,DTB_6,KetQua
15,0,7.28,19,0,6.13,11,0,6.69,11,3,7.16,23,0,7.27,25,0,6.57,1
15,0,7.41,14,3,6.67,11,0,7.87,17,0,8.21,23,0,8.34,25,0,8.01,1
15,0,6.39,12,5,5.83,11,2,6.29,17,1,6.16,25,0,7.22,25,0,6.94,1
15,0,7.15,19,0,6.88,13,0,7.51,11,1,7.48,23,0,8.48,25,0,8.45,1
15,0,6.96,19,0,5.69,11,0,6.75,16,1,7.13,23,0,7.63,25,0,7.62,1
15,0,8,19,0,6.45,13,0,7.24,14,0,7.72,23,0,7.91,22,1,5.9,1
15,0,7.68,16,3,6.3,14,0,7.74,13,1,6.7,25,0,7.71,25,0,7.55,1
15,0,6.71,19,0,6.36,13,0,6.58,14,0,6.92,23,0,7.7,25,0,7.32,1
15,0,6.73,19,0,5.99,18,0,6.77,16,0,7.38,25,0,8.1,25,0,8.23,1
11,4,7,16,3,6.19,18,0,6.37,0,0,0,13,2,5.95,8,11,5.74,1
15,0,6.97,17,2,6.49,7,0,6.87,13,0,6.81,23,2,6.7,22,1,6.28,1
13,2,6.6,14,3,5.43,13,0,5.95,17,1,6.65,23,0,6.46,23,0,6.9,1
15,0,8.13,19,0,6.27,14,0,7.04,11,1,6.34,23,0,6.63,24,1,6.52,1
15,0,6.57,14,3,5.63,11,0,6.6,21,0,6.27,23,0,7.26,25,0,6.24,1
15,0,6.65,14,3,5.38,11,0,6.62,18,0,6.07,25,0,7.36,25,0,6.58,1
15,0,8.72,19,0,7.85,13,0,8.42,12,0,8.92,23,0,8.85,25,0,8.88,1
